Title,Year,Budget,Domestic Revenue,International Revenue,Worldwide Revenue,MPAA Rating,Run Time,Genre,Metacritic Mixed Reviews,Metacritic Negative Reviews,Metacritic Positive Reviews,Metascore,Users Mixed Reviews,Users Negative Reviews,Users Positive Reviews,Userscore
The Incredible Hulk,2008,150000000,134806913,129964083,264770996,PG-13,1 hr 52 min,Action,14.0,0.0,24.0,61.0,222,58,651,7.2
Appaloosa,2008,20000000,20211394,7500968,27712362,R,1 hr 55 min,Action,6.0,1.0,25.0,64.0,24,23,49,5.9
Clash of the Titans,2010,125000000,163214888,330000105,493214993,PG-13,1 hr 46 min,Action,15.0,13.0,9.0,39.0,176,138,136,4.9
Thor,2011,150000000,181030624,268295994,449326618,PG-13,1 hr 55 min,Action,14.0,4.0,22.0,57.0,389,114,"1,206",7
Warcraft,2016,160000000,47365290,391683624,439048914,PG-13,2 hr 3 min,Action,18.0,19.0,3.0,32.0,256,221,"2,383",8.2
It's Kind of a Funny Story,2010,8000000,6363628,127612,6491240,PG-13,1 hr 41 min,Comedy,10.0,1.0,22.0,63.0,34,6,92,7.2
Married Life,2007,12000000,1507990,1380325,2888315,PG-13,1 hr 31 min,Crime,7.0,0.0,22.0,65.0,4,0,7,7.5
Facing the Giants,2006,100000,10178331,129656,10307987,PG,1 hr 51 min,Drama,,,,,,,,
Lars and the Real Girl,2007,12000000,5972884,5320779,11293663,PG-13,1 hr 46 min,Comedy,6.0,2.0,24.0,70.0,17,15,194,8.2
Angels & Demons,2009,150000000,133375846,352554970,485930816,PG-13,2 hr 18 min,Action,23.0,3.0,10.0,48.0,106,49,143,6.2
"Lust, Caution",2007,15000000,4604982,62486933,67091915,NC-17,2 hr 37 min,Drama,12.0,2.0,21.0,61.0,11,30,74,6.6
Tooth Fairy,2010,48000000,60022256,52440252,112462508,PG,1 hr 41 min,Comedy,12.0,10.0,2.0,36.0,15,35,19,4.4
Life During Wartime,2009,4500000,281447,525715,807162,R,1 hr 38 min,Comedy,7.0,1.0,22.0,69.0,5,4,7,5.5
Bright Star,2009,8500000,4444637,9930015,14374652,PG,1 hr 59 min,Biography,4.0,0.0,30.0,81.0,8,15,67,7.2
Jack and Jill,2011,79000000,74158157,75515631,149673788,PG,1 hr 31 min,Comedy,8.0,17.0,1.0,23.0,28,248,46,2.1
Speed Racer,2008,120000000,43945766,50000000,93945766,PG,2 hr 15 min,Action,14.0,15.0,8.0,37.0,34,59,359,7.9
The Love Guru,2008,62000000,32235793,8641763,40877556,PG-13,1 hr 27 min,Comedy,10.0,21.0,2.0,24.0,11,65,37,4
Bangkok Dangerous,2008,45000000,15298133,27189257,42487390,R,1 hr 39 min,Action,7.0,9.0,0.0,24.0,22,22,25,5.3
Percy Jackson & the Olympians: The Lightning Thief,2010,95000000,88768303,137728906,226497209,PG,1 hr 58 min,Adventure,18.0,4.0,9.0,47.0,117,108,119,5.1
Seven Pounds,2008,55000000,69951824,99797105,169748929,PG-13,2 hr 3 min,Drama,14.0,12.0,7.0,36.0,38,118,206,5.7
The Stepfather,2009,20000000,29062561,2135970,31198531,PG-13,1 hr 41 min,Crime,7.0,3.0,1.0,33.0,18,12,19,5.7
The Life Before Her Eyes,2007,13000000,303439,6945051,7248490,R,1 hr 30 min,Drama,8.0,11.0,6.0,38.0,3,4,14,7.1
She's Out of My League,2010,20000000,32010860,17768868,49779728,R,1 hr 44 min,Comedy,12.0,7.0,10.0,46.0,40,13,69,6.6
Religulous,2008,2500000,13011160,627955,13639115,R,1 hr 41 min,Comedy,11.0,4.0,16.0,56.0,20,26,136,7.6
Conan the Barbarian,2011,90000000,21295021,42228262,63523283,R,1 hr 53 min,Action,3.0,3.0,4.0,43.0,19,3,92,8
Interstellar,2014,165000000,188020017,489451322,677471339,PG-13,2 hr 49 min,Adventure,10.0,1.0,35.0,74.0,274,262,"3,613",8.5
World War Z,2013,190000000,202359711,337648165,540007876,PG-13,1 hr 56 min,Action,14.0,2.0,30.0,63.0,306,137,771,6.8
Flipped,2010,14000000,1755212,2470709,4225921,PG,1 hr 30 min,Comedy,11.0,2.0,11.0,45.0,10,3,38,7.7
Valentine's Day,2010,52000000,110485654,106000000,216485654,PG-13,2 hr 5 min,Comedy,14.0,15.0,4.0,34.0,38,45,48,5
Priest,2011,60000000,29137000,49172505,78309505,PG-13,1 hr 27 min,Action,10.0,2.0,1.0,41.0,100,61,64,5.1
Shooter,2007,61000000,47003582,48693414,95696996,R,2 hr 4 min,Action,15.0,2.0,16.0,53.0,44,14,224,8
Changeling,2008,55000000,35739802,77658435,113398237,R,2 hr 21 min,Biography,12.0,3.0,23.0,63.0,27,12,165,7.8
The Last Station,2009,18000000,6617867,13936453,20554320,R,1 hr 52 min,Biography,4.0,0.0,30.0,76.0,4,3,39,7.7
The Bucket List,2007,45000000,93466502,81906000,175372502,PG-13,1 hr 37 min,Comedy,17.0,12.0,5.0,42.0,34,17,126,7.4
Dracula Untold,2014,70000000,56280355,160843925,217124280,PG-13,1 hr 32 min,Action,15.0,10.0,5.0,40.0,139,63,219,6.4
A Mighty Heart,2007,16000000,9176787,9831958,19008745,R,1 hr 48 min,Biography,4.0,0.0,34.0,74.0,10,6,35,7.2
Superbad,2007,20000000,121463226,49349300,170812526,R,1 hr 53 min,Comedy,4.0,0.0,32.0,76.0,48,57,502,8
Quantum of Solace,2008,200000000,168368427,421212055,589580482,PG-13,1 hr 46 min,Action,22.0,2.0,24.0,58.0,243,87,312,6.3
Godzilla,2014,160000000,200676069,324300000,524976069,PG-13,2 hr 3 min,Action,9.0,12.0,2.0,32.0,74,87,59,4.8
Underworld: Rise of the Lycans,2009,35000000,45802315,46356646,92158961,R,1 hr 32 min,Action,7.0,4.0,3.0,44.0,48,16,121,7.1
Hotel Transylvania,2012,85000000,148313048,210062555,358375603,PG,1 hr 31 min,Animation,16.0,5.0,11.0,47.0,84,31,206,6.9
Pet Sematary,2019,21000000,54724696,58393530,113118226,R,1 hr 41 min,Horror,5.0,6.0,1.0,38.0,21,2,26,6.7
The Darjeeling Limited,2007,16000000,11902715,23405234,35307949,R,1 hr 31 min,Adventure,7.0,2.0,26.0,67.0,37,25,180,7.3
The Pink Panther 2,2009,70000000,35922978,40102156,76025134,PG,1 hr 32 min,Action,14.0,13.0,3.0,36.0,27,25,28,5.1
Step Brothers,2008,65000000,100468793,27638849,128107642,R,1 hr 38 min,Comedy,15.0,5.0,13.0,51.0,43,35,267,7.9
The Town,2010,37000000,92186262,61839874,154026136,R,2 hr 5 min,Crime,4.0,0.0,38.0,74.0,62,37,429,7.4
Walk Hard: The Dewey Cox Story,2007,35000000,18317151,2259047,20576198,R,1 hr 36 min,Comedy,8.0,1.0,23.0,63.0,24,21,81,6.8
The Kids Are All Right,2010,4000000,20811365,13947586,34758951,R,1 hr 46 min,Comedy,4.0,0.0,35.0,86.0,50,32,231,7.2
Cloudy with a Chance of Meatballs,2009,100000000,124870275,118135851,243006126,PG,1 hr 30 min,Adventure,5.0,1.0,18.0,66.0,43,11,204,7.6
College,2008,7000000,4694636,1570847,6265483,R,1 hr 34 min,Comedy,2.0,9.0,0.0,15.0,1,14,6,3.2
The Avengers,2012,220000000,623357910,895455078,1518812988,PG-13,2 hr 23 min,Action,3.0,16.0,0.0,12.0,7,38,7,2.7
Epic,2013,100000000,107518682,160907952,268426634,PG,1 hr 42 min,Adventure,16.0,4.0,10.0,52.0,74,17,86,6.3
The House Bunny,2008,25000000,48237389,22202307,70439696,PG-13,1 hr 37 min,Comedy,8.0,3.0,11.0,55.0,24,17,31,5.8
Death of a President,2006,2000000,519086,350266,869352,R,1 hr 37 min,Crime,16.0,4.0,10.0,49.0,4,8,20,6.2
The Mummy: Tomb of the Dragon Emperor,2008,145000000,102491776,300958054,403449830,PG-13,1 hr 52 min,Action,12.0,19.0,2.0,31.0,66,148,60,3.7
Super Troopers 2,2018,13500000,30617396,1008990,31626386,R,1 hr 39 min,Comedy,16.0,8.0,5.0,41.0,22,12,46,6.7
Blindness,2008,25000000,3351751,16493228,19844979,R,2 hr 1 min,Drama,16.0,7.0,8.0,45.0,27,33,63,6
Mr. Peabody & Sherman,2014,145000000,111506430,164191609,275698039,PG,1 hr 32 min,Adventure,16.0,2.0,16.0,59.0,50,26,127,6.6
Made of Honor,2008,40000000,46012734,60394938,106407672,PG-13,1 hr 41 min,Comedy,12.0,9.0,4.0,37.0,23,20,19,5
Baby Mama,2008,30000000,60494212,3950501,64444713,PG-13,1 hr 39 min,Comedy,22.0,1.0,11.0,55.0,24,15,95,7.7
My Soul to Take,2010,25000000,14744435,6756378,21500813,R,1 hr 47 min,Horror,5.0,8.0,0.0,25.0,20,26,90,7.4
Nine,2009,80000000,19676965,34327985,54004950,PG-13,1 hr 58 min,Drama,17.0,6.0,10.0,49.0,51,104,84,4.5
The Blind Side,2009,29000000,255959475,53248834,309208309,PG-13,2 hr 9 min,Biography,10.0,3.0,16.0,53.0,65,39,267,7.4
Please Give,2010,3000000,4033574,280255,4313829,R,1 hr 27 min,Comedy,5.0,1.0,29.0,78.0,10,2,48,7.5
Eat Pray Love,2010,60000000,80574010,124020006,204594016,PG-13,2 hr 13 min,Drama,22.0,4.0,13.0,50.0,42,30,30,4.9
Untraceable,2008,35000000,28687835,24245678,52933513,R,1 hr 41 min,Crime,11.0,13.0,6.0,32.0,13,15,28,5.9
