Title,Year,Budget,Domestic Revenue,International Revenue,Worldwide Revenue,MPAA Rating,Run Time,Genre,Metacritic Mixed Reviews,Metacritic Negative Reviews,Metacritic Positive Reviews,Metascore,Users Mixed Reviews,Users Negative Reviews,Users Positive Reviews,Userscore
Rules Don't Apply,2016,25000000,3652206,233136,3885342,PG-13,2 hr 7 min,Comedy,18.0,2.0,20.0,60.0,16,5,7,5.6
Rush,2013,38000000,26947624,70035385,96983009,R,2 hr 3 min,Biography,4.0,1.0,38.0,75.0,30,15,608,8.6
Pain & Gain,2013,26000000,49875291,37430258,87305549,R,2 hr 9 min,Action,20.0,10.0,12.0,45.0,92,41,192,6.5
Thor: The Dark World,2013,170000000,206362140,438421000,644783140,PG-13,1 hr 52 min,Action,19.0,3.0,22.0,54.0,328,114,971,7.1
Geostorm,2017,120000000,33700160,187900000,221600160,PG-13,1 hr 49 min,Action,5.0,16.0,1.0,21.0,50,96,44,4.1
Pitch Perfect,2012,17000000,65001093,50349333,115350426,PG-13,1 hr 52 min,Comedy,10.0,0.0,23.0,66.0,55,26,230,7.3
The Angry Birds Movie,2016,73000000,107509366,244824563,352333929,PG,1 hr 37 min,Action,6.0,13.0,8.0,43.0,99,59,179,6.3
Cloudy with a Chance of Meatballs 2,2013,78000000,119793567,154532382,274325949,PG,1 hr 35 min,Adventure,12.0,2.0,17.0,59.0,56,9,90,6.8
The Upside,2017,37500000,108252517,17600000,125852517,PG-13,2 hr 6 min,Comedy,23.0,6.0,11.0,46.0,24,18,42,5.9
Hell Fest,2018,5500000,11107431,7052260,18159691,R,1 hr 29 min,Horror,1.0,9.0,1.0,26.0,8,5,13,6
Neighbors,2014,18000000,150157400,120507734,270665134,R,1 hr 37 min,Comedy,11.0,1.0,33.0,68.0,141,62,243,6.3
Warriors of the Rainbow: Seediq Bale I,2011,23000000,136166,4534266,4670432,,2 hr 24 min,Action,,,,,,,,
No Good Deed,2014,13200000,52543632,1779578,54323210,PG-13,1 hr 24 min,Action,7.0,10.0,0.0,26.0,21,29,16,4.4
Guardians of the Galaxy,2014,170000000,333176600,439600000,772776600,PG-13,2 hr 1 min,Action,4.0,1.0,48.0,76.0,179,118,"2,829",8.5
The Smurfs 2,2013,105000000,71017784,276527576,347545360,PG,1 hr 45 min,Adventure,16.0,13.0,1.0,34.0,34,84,33,3.7
Diary of a Wimpy Kid: Dog Days,2012,22000000,49008662,28221033,77229695,PG,1 hr 34 min,Comedy,12.0,2.0,8.0,54.0,13,10,38,6.6
Mama,2013,15000000,71628180,74800000,146428180,PG-13,1 hr 40 min,Horror,15.0,3.0,17.0,57.0,119,68,230,6.4
Identity Thief,2013,35000000,134506920,39458090,173965010,R,1 hr 51 min,Comedy,19.0,15.0,7.0,35.0,90,57,56,4.9
Non-Stop,2014,50000000,92168600,130641000,222809600,PG-13,1 hr 46 min,Action,19.0,3.0,19.0,56.0,102,24,265,7
12 Years a Slave,2013,20000000,56671993,131061209,187733202,R,2 hr 14 min,Biography,1.0,0.0,56.0,96.0,107,109,"1,221",8.1
The Last Exorcism Part II,2013,5000000,15179302,9872563,25051865,PG-13,1 hr 28 min,Horror,12.0,8.0,0.0,35.0,20,28,11,3.8
The Great Wall,2016,150000000,45540830,289393001,334933831,PG-13,1 hr 43 min,Action,21.0,12.0,7.0,42.0,103,48,95,5.7
Flatliners,2017,19000000,16883115,28275139,45158254,PG-13,1 hr 49 min,Drama,2.0,2.0,6.0,55.0,5,1,22,8.4
The Gambler,2014,25000000,33680992,5600000,39280992,R,1 hr 51 min,Crime,18.0,4.0,18.0,55.0,43,26,35,5.5
Point Break,2015,105000000,28782481,104936230,133718711,PG-13,1 hr 54 min,Action,11.0,0.0,9.0,58.0,16,6,103,8.1
Rocketman,2019,40000000,96368160,98811139,195179299,R,2 hr 1 min,Biography,13.0,1.0,35.0,69.0,45,35,232,7.4
Steve Jobs,2015,30000000,17766658,16675215,34441873,R,2 hr 2 min,Biography,3.0,1.0,41.0,82.0,66,56,342,7.1
The Best Man Holiday,2013,17000000,70525195,2310515,72835710,R,2 hr 3 min,Comedy,14.0,1.0,15.0,59.0,3,6,13,5.8
Captain Underpants: The First Epic Movie,2017,38000000,73921000,51506681,125427681,PG,1 hr 29 min,Action,5.0,1.0,19.0,69.0,43,10,97,6.9
Assassin's Creed,2016,125000000,54647948,186049908,240697856,PG-13,1 hr 55 min,Action,16.0,18.0,4.0,36.0,251,194,458,6.2
Dumb and Dumber To,2014,40000000,86208010,83629000,169837010,PG-13,1 hr 49 min,Comedy,23.0,12.0,1.0,36.0,95,93,141,5.5
Inside Out,2015,175000000,356461711,501149463,857611174,PG,1 hr 35 min,Adventure,3.0,5.0,0.0,28.0,0,3,2,5.4
Hit and Run,2012,2000000,13749300,3067347,16816647,R,1 hr 40 min,Action,13.0,7.0,11.0,50.0,18,12,25,5.9
Spring Breakers,2012,5000000,14124284,17600000,31724284,R,1 hr 34 min,Crime,9.0,5.0,26.0,63.0,90,128,222,5.8
Tammy,2014,20000000,84525432,15850000,100375432,R,1 hr 37 min,Comedy,15.0,14.0,7.0,39.0,46,101,24,3
Dawn of the Planet of the Apes,2014,170000000,208545589,502098977,710644566,PG-13,2 hr 10 min,Action,4.0,0.0,44.0,79.0,107,50,"1,104",8.2
Into the Storm,2014,50000000,47602194,113900000,161502194,PG-13,1 hr 29 min,Action,18.0,8.0,6.0,44.0,79,43,61,5.2
Paranormal Activity 4,2012,5000000,53885000,88917657,142802657,R,1 hr 28 min,Horror,15.0,5.0,2.0,40.0,74,89,66,4.6
Transformers: Age of Extinction,2014,210000000,245439076,858614996,1104054072,PG-13,2 hr 45 min,Action,,,,,,,,
Hacksaw Ridge,2016,40000000,67209615,113241303,180450918,R,2 hr 19 min,Biography,7.0,0.0,40.0,71.0,53,22,645,8.3
The House with a Clock in Its Walls,2018,42000000,68549695,62907452,131457147,PG,1 hr 45 min,Comedy,16.0,4.0,18.0,57.0,43,13,36,5.8
Pixels,2015,88000000,78747585,166127224,244874809,PG-13,1 hr 45 min,Action,12.0,23.0,2.0,27.0,113,213,220,5.1
San Andreas,2015,110000000,155190832,318800000,473990832,PG-13,1 hr 54 min,Action,18.0,12.0,12.0,43.0,172,85,172,5.6
Second Act,2018,16000000,39282227,33000000,72282227,PG-13,1 hr 43 min,Comedy,16.0,6.0,5.0,46.0,15,13,15,5.6
Saving Mr. Banks,2013,35000000,83301580,34566404,117867984,PG-13,2 hr 5 min,Biography,12.0,2.0,32.0,65.0,44,10,247,7.6
The Accountant,2016,44000000,86260045,68900000,155160045,R,2 hr 8 min,Action,24.0,6.0,15.0,51.0,77,24,308,7.4
Getaway,2013,18000000,10501938,1304494,11806432,PG-13,1 hr 30 min,Action,7.0,26.0,1.0,22.0,23,98,46,3.7
Horrible Bosses 2,2014,42000000,54445357,53200000,107645357,R,1 hr 48 min,Comedy,17.0,13.0,6.0,40.0,96,24,83,6
3 Days to Kill,2014,28000000,30697999,22562231,53260230,PG-13,1 hr 57 min,Action,16.0,10.0,4.0,40.0,54,23,44,5.7
Metallica Through the Never,2013,18000000,3419967,4555845,7975812,R,1 hr 33 min,Music,,,,,,,,
The Monuments Men,2014,70000000,78031620,78675018,156706638,PG-13,1 hr 58 min,Comedy,27.0,1.0,15.0,52.0,101,49,79,5.4
American Sniper,2014,58800000,350126372,197300000,547426372,R,2 hr 13 min,Action,12.0,0.0,36.0,72.0,197,161,664,6.6
Into the Woods,2014,50000000,128002372,84900000,212902372,PG,2 hr 5 min,Adventure,10.0,0.0,31.0,69.0,110,80,211,6
Earth to Echo,2014,13000000,38934842,6746220,45681062,PG,1 hr 31 min,Adventure,15.0,2.0,14.0,53.0,24,29,23,5
The Purge,2013,3000000,64473115,24855512,89328627,R,1 hr 25 min,Horror,17.0,10.0,6.0,41.0,202,129,170,5.3
Grown Ups 2,2013,80000000,133668525,113315753,246984278,PG-13,1 hr 41 min,Comedy,3.0,24.0,1.0,19.0,65,217,69,3.1
The Counselor,2013,25000000,16973715,54035619,71009334,R,1 hr 57 min,Crime,15.0,12.0,15.0,48.0,82,83,127,5.7
Run All Night,2015,50000000,26461644,45100000,71561644,R,1 hr 54 min,Action,13.0,2.0,19.0,59.0,62,12,235,8
The Other Woman,2014,40000000,83911193,112799203,196710396,PG-13,1 hr 49 min,Comedy,16.0,12.0,7.0,39.0,50,48,66,5.2
Transcendence,2014,100000000,23022309,80016949,103039258,PG-13,1 hr 59 min,Action,27.0,10.0,8.0,42.0,128,76,188,6
Madea's Witness Protection,2012,20000000,65653242,1246000,66899242,PG-13,1 hr 54 min,Comedy,12.0,2.0,1.0,42.0,10,12,12,5
Katy Perry: Part of Me,2012,12000000,25326071,7400885,32726956,PG,1 hr 33 min,Documentary,11.0,0.0,13.0,57.0,18,86,173,6.4
Home,2015,135000000,177397510,208644097,386041607,PG,1 hr 34 min,Adventure,19.0,2.0,10.0,55.0,64,42,187,7.1
Insidious: Chapter 2,2013,5000000,83586447,78332871,161919318,PG-13,1 hr 46 min,Horror,14.0,10.0,6.0,40.0,80,25,153,6.7
The Mountain Between Us,2017,35000000,30348555,32483654,62832209,PG-13,1 hr 52 min,Action,24.0,6.0,7.0,48.0,45,21,31,5.2
Don Jon,2013,3000000,24477704,14961651,39439355,R,1 hr 30 min,Comedy,7.0,3.0,31.0,66.0,83,30,231,6.9
Rampage,2018,120000000,101028233,327000000,428028233,PG-13,1 hr 47 min,Action,23.0,12.0,11.0,45.0,119,38,98,5.8
The Internship,2013,58000000,44672764,48820080,93492844,PG-13,1 hr 59 min,Comedy,20.0,9.0,7.0,42.0,97,44,107,5.9
Valerian and the City of a Thousand Planets,2017,177200000,41189488,184684740,225874228,PG-13,2 hr 17 min,Action,22.0,6.0,17.0,51.0,166,98,312,6.4
Think Like a Man Too,2014,24000000,65182182,4999246,70181428,PG-13,1 hr 46 min,Comedy,13.0,13.0,4.0,38.0,7,17,10,4.1
Money Monster,2016,27000000,41012075,52270529,93282604,R,1 hr 38 min,Crime,15.0,4.0,25.0,55.0,63,11,108,6.6
A Haunted House,2013,2500000,40041683,20117901,60159584,R,1 hr 26 min,Comedy,2.0,13.0,1.0,20.0,43,62,67,4.9
Big Hero 6,2014,165000000,222527828,435300000,657827828,PG,1 hr 42 min,Action,5.0,0.0,33.0,74.0,101,40,712,7.9
When the Game Stands Tall,2014,15000000,30127963,10791,30138754,PG,1 hr 55 min,Drama,15.0,6.0,3.0,41.0,6,4,25,6.9
Spider-Man: Homecoming,2017,175000000,334201140,545965784,880166924,PG-13,2 hr 13 min,Action,6.0,0.0,45.0,73.0,201,216,"1,570",7.6
The Book of Life,2014,50000000,50151543,49632013,99783556,PG,1 hr 35 min,Adventure,6.0,1.0,20.0,67.0,29,13,126,7.3
Kung Fu Panda 3,2016,145000000,143528619,377642206,521170825,PG,1 hr 35 min,Action,11.0,0.0,23.0,66.0,79,19,284,7.4
Gone Girl,2014,61000000,167767189,201563174,369330363,R,2 hr 29 min,Drama,10.0,0.0,39.0,79.0,100,80,"1,227",8.2
Magic Mike XXL,2015,14800000,66013057,51800000,117813057,R,1 hr 55 min,Comedy,16.0,3.0,22.0,60.0,43,25,43,5.6
Hellboy,2019,50000000,21903748,22760942,44664690,R,2 hr,Action,23.0,19.0,2.0,31.0,101,110,143,5.4
The Grand Budapest Hotel,2014,25000000,59301324,113635617,172936941,R,1 hr 39 min,Adventure,3.0,0.0,45.0,88.0,71,53,"1,144",8.4
Love the Coopers,2015,17000000,26302731,16124181,42426912,PG-13,1 hr 47 min,Comedy,10.0,12.0,4.0,31.0,14,13,11,5
The SpongeBob Movie: Sponge Out of Water,2015,74000000,162994032,162192000,325186032,PG,1 hr 32 min,Adventure,11.0,1.0,15.0,62.0,80,48,177,6.5
Muppets Most Wanted,2014,50000000,51183113,29200000,80383113,PG,1 hr 47 min,Adventure,16.0,0.0,21.0,61.0,43,20,79,6.3
Men in Black: International,2019,110000000,80001807,173888894,253890701,PG-13,1 hr 54 min,Action,29.0,16.0,6.0,38.0,76,121,70,4.2
Jumanji: Welcome to the Jungle,2017,90000000,404540171,557562066,962102237,PG-13,1 hr 59 min,Action,17.0,4.0,23.0,58.0,134,43,315,6.7
Minions,2015,74000000,336045770,823352627,1159398397,PG,1 hr 31 min,Adventure,17.0,3.0,15.0,56.0,171,106,197,5.6
22 Jump Street,2014,50000000,191719337,139614539,331333876,R,1 hr 52 min,Action,8.0,0.0,38.0,71.0,100,46,670,8
Frozen,2013,150000000,400738009,880064273,1280802282,PG,1 hr 42 min,Adventure,8.0,4.0,4.0,43.0,27,19,41,6.2
Sherlock Gnomes,2018,59000000,43242871,47254907,90497778,PG,1 hr 26 min,Adventure,8.0,5.0,1.0,36.0,11,20,12,4.2
Olympus Has Fallen,2013,70000000,98925640,71344561,170270201,R,1 hr 59 min,Action,16.0,6.0,8.0,41.0,136,86,170,5.7
The 5th Wave,2016,38000000,34916787,74989585,109906372,PG-13,1 hr 52 min,Action,11.0,17.0,2.0,33.0,85,118,113,5.3
The Gallows,2015,100000,22764410,20200000,42964410,R,1 hr 21 min,Horror,6.0,13.0,3.0,30.0,20,45,77,6.2
Homefront,2013,22000000,20158898,28290518,48449416,R,1 hr 40 min,Action,20.0,11.0,4.0,40.0,42,17,52,6.2
Alien: Covenant,2017,97000000,74262031,166629732,240891763,R,2 hr 2 min,Horror,18.0,2.0,32.0,65.0,366,287,568,5.8
Endless Love,2014,20000000,23438250,11279923,34718173,PG-13,1 hr 44 min,Drama,11.0,19.0,2.0,30.0,9,24,17,4.3
Fifty Shades of Grey,2015,40000000,166167230,403484237,569651467,R,2 hr 5 min,Drama,29.0,8.0,9.0,46.0,149,750,222,2.9
Snatched,2017,42000000,45852178,14993533,60845711,R,1 hr 30 min,Action,24.0,8.0,9.0,45.0,28,63,18,3.1
White House Down,2013,150000000,73103784,132262953,205366737,PG-13,2 hr 11 min,Action,19.0,7.0,17.0,52.0,100,55,131,5.9
The Rover,2014,12000000,1114423,1395584,2510007,R,1 hr 43 min,Action,17.0,0.0,21.0,64.0,21,13,78,7
The Mummy,2017,125000000,80227895,329003712,409231607,PG-13,1 hr 50 min,Action,16.0,7.0,11.0,48.0,45,6,509,8.8
Jobs,2013,12000000,16131410,25996942,42128352,PG-13,2 hr 8 min,Biography,24.0,6.0,5.0,44.0,72,56,63,5.1
Rio 2,2014,103000000,131538435,367242682,498781117,G,1 hr 41 min,Adventure,26.0,3.0,5.0,49.0,63,32,83,6.1
Unfinished Business,2015,35000000,10219501,4211752,14431253,R,1 hr 31 min,Comedy,9.0,15.0,2.0,32.0,20,24,13,4.2
The Intern,2015,35000000,75764672,118800000,194564672,PG-13,2 hr 1 min,Comedy,,,,,,,,
Runner Runner,2013,30000000,19316646,43358449,62675095,R,1 hr 28 min,Crime,20.0,11.0,0.0,36.0,44,27,32,5.5
The Disappointments Room,2016,15000000,2423468,3321572,5745040,R,1 hr 25 min,Drama,4.0,3.0,0.0,31.0,11,17,2,2.8
Need for Speed,2014,66000000,43577636,159700000,203277636,PG-13,2 hr 12 min,Action,,,,,,,,
Deliver Us from Evil,2014,30000000,30577122,57360693,87937815,R,1 hr 58 min,Horror,0.0,0.0,23.0,86.0,4,3,31,8.1
Spectre,2015,245000000,200074609,680600000,880674609,PG-13,2 hr 28 min,Action,,,,,,,,
Mission: Impossible - Rogue Nation,2015,150000000,195042377,487671890,682714267,PG-13,2 hr 11 min,Action,6.0,0.0,40.0,75.0,103,30,732,7.9
Focus,2015,50100000,53862963,104900000,158762963,R,1 hr 45 min,Comedy,15.0,2.0,10.0,53.0,1,1,2,6.3
The Huntsman: Winter's War,2016,115000000,48390190,116599148,164989338,PG-13,1 hr 54 min,Action,24.0,15.0,2.0,35.0,85,45,58,5.2
How to Train Your Dragon: The Hidden World,2019,129000000,160799505,361000000,521799505,PG,1 hr 44 min,Action,10.0,0.0,29.0,71.0,45,12,295,8
Dark Skies,2013,3500000,17418667,10439436,27858103,PG-13,1 hr 37 min,Horror,11.0,4.0,4.0,50.0,48,25,129,7.2
Keeping Up with the Joneses,2016,40000000,14904426,15014319,29918745,PG-13,1 hr 45 min,Action,16.0,13.0,2.0,34.0,41,12,38,6.2
Delivery Man,2013,26000000,30664106,22456240,53120346,PG-13,1 hr 45 min,Comedy,17.0,9.0,7.0,44.0,41,8,38,6.2
Oculus,2013,5000000,27695246,16764705,44459951,R,1 hr 44 min,Horror,9.0,2.0,17.0,61.0,74,314,186,3.5
Avengers: Age of Ultron,2015,250000000,459005868,943800000,1402805868,PG-13,2 hr 21 min,Action,,,,,,,,
Smurfs: The Lost Village,2017,60000000,45020282,152163264,197183546,PG,1 hr 30 min,Adventure,15.0,7.0,3.0,40.0,29,12,23,5.7
The Green Inferno,2013,5000000,7192291,5474158,12666449,R,1 hr 40 min,Adventure,8.0,9.0,2.0,38.0,41,37,25,4.6
Gods of Egypt,2016,140000000,31153464,119527400,150680864,PG-13,2 hr 7 min,Action,10.0,15.0,0.0,25.0,92,155,119,4.5
The Family,2013,30000000,36918811,41500000,78418811,R,1 hr 51 min,Comedy,14.0,10.0,8.0,42.0,77,18,73,6.2
Woman in Gold,2015,11000000,33307793,28311980,61619773,PG-13,1 hr 49 min,Biography,18.0,2.0,11.0,51.0,27,8,70,7.1
The Magnificent Seven,2016,90000000,93432655,68927981,162360636,PG-13,2 hr 12 min,Action,29.0,2.0,19.0,54.0,99,27,182,6.5
The Heat,2013,43000000,159582188,70348583,229930771,R,1 hr 57 min,Action,11.0,3.0,23.0,60.0,70,47,176,6.5
Atomic Blonde,2017,30000000,51687870,48326155,100014025,R,1 hr 55 min,Action,17.0,1.0,32.0,63.0,110,42,234,6.6
Philomena,2013,12000000,37709979,62419893,100129872,PG-13,1 hr 38 min,Biography,3.0,1.0,38.0,77.0,30,6,183,7.9
Project Almanac,2015,12000000,22348241,10865000,33213241,PG-13,1 hr 46 min,Drama,16.0,4.0,5.0,47.0,50,41,64,5.4
Taken 3,2014,48000000,89256424,237222717,326479141,PG-13,1 hr 48 min,Action,11.0,18.0,1.0,26.0,118,114,82,4.6
Joy,2015,60000000,56451232,44682827,101134059,PG-13,2 hr 4 min,Drama,25.0,2.0,21.0,56.0,95,31,146,6.5
The Peanuts Movie,2015,99000000,130178411,116054702,246233113,G,1 hr 28 min,Animation,10.0,1.0,20.0,67.0,25,6,182,8
Left Behind,2014,16000000,14019924,13385972,27405896,PG-13,1 hr 50 min,Action,4.0,7.0,1.0,22.0,7,13,10,4.5
Paranormal Activity: The Ghost Dimension,2015,10000000,18300124,60603000,78903124,R,1 hr 28 min,Horror,6.0,7.0,0.0,30.0,20,54,21,3.8
Paranormal Activity: The Marked Ones,2014,5000000,32462372,58432590,90894962,R,1 hr 24 min,Horror,11.0,6.0,2.0,42.0,50,70,68,5
Star Wars: Episode VII - The Force Awakens,2015,245000000,936662225,1131561399,2068223624,PG-13,2 hr 18 min,Action,4.0,0.0,51.0,81.0,"1,032","1,423","4,744",6.8
Burnt,2015,20000000,13651946,22954797,36606743,R,1 hr 41 min,Comedy,20.0,5.0,3.0,42.0,38,13,47,6
Hotel Transylvania 2,2015,80000000,169700110,305099890,474800000,PG,1 hr 29 min,Animation,12.0,8.0,4.0,44.0,57,15,150,7
The Gunman,2015,40000000,10664749,13512388,24177137,R,1 hr 55 min,Action,24.0,13.0,4.0,39.0,34,26,18,4.5
One Direction: This Is Us,2013,10000000,28873374,39659524,68532898,PG,1 hr 32 min,Documentary,19.0,3.0,5.0,49.0,10,103,37,2.7
Star Wars: Episode VIII - The Last Jedi,2017,317000000,620181382,712358507,1332539889,PG-13,2 hr 32 min,Action,,,,,,,,
God's Not Dead,2014,2000000,60755732,3920617,64676349,PG,1 hr 53 min,Drama,,,,,,,,
Blockers,2018,21000000,60311495,33705799,94017294,R,1 hr 42 min,Comedy,7.0,1.0,38.0,69.0,49,16,66,6.2
Arrival,2016,47000000,100546139,102842047,203388186,PG-13,1 hr 56 min,Drama,4.0,1.0,47.0,81.0,142,120,"1,440",8.1
The Light Between Oceans,2016,20000000,12545979,13429642,25975621,PG-13,2 hr 13 min,Drama,20.0,0.0,24.0,60.0,21,11,66,6.9
Crimson Peak,2015,55000000,31090320,43589502,74679822,R,1 hr 59 min,Drama,12.0,1.0,24.0,66.0,119,38,373,7.5
The Second Best Exotic Marigold Hotel,2015,10000000,33078266,52900000,85978266,PG,2 hr 2 min,Comedy,18.0,2.0,16.0,51.0,26,8,27,6
Pacific Rim: Uprising,2018,150000000,59874525,231055623,290930148,PG-13,1 hr 51 min,Action,28.0,10.0,7.0,44.0,147,92,76,4.8
A Million Ways to Die in the West,2014,40000000,43139300,44050456,87189756,R,1 hr 56 min,Comedy,19.0,12.0,12.0,44.0,137,96,110,5.2
Get Hard,2015,40000000,90411453,21300000,111711453,R,1 hr 40 min,Comedy,21.0,19.0,3.0,34.0,68,86,59,4.2
Birdman or (The Unexpected Virtue of Ignorance),2014,18000000,42340598,60874496,103215094,R,1 hr 59 min,Comedy,5.0,2.0,51.0,87.0,137,131,"1,422",8.2
Alice Through the Looking Glass,2016,170000000,77041381,222415643,299457024,PG,1 hr 53 min,Adventure,19.0,20.0,3.0,34.0,103,70,143,5.9
Going in Style,2017,25000000,45018541,39900000,84918541,PG-13,1 hr 36 min,Comedy,19.0,2.0,10.0,50.0,41,7,38,6.1
Me and Earl and the Dying Girl,2015,8000000,6758416,2316333,9074749,PG-13,1 hr 45 min,Comedy,3.0,3.0,34.0,74.0,21,5,170,8.1
Hell or High Water,2016,12000000,27007844,10872033,37879877,R,1 hr 42 min,Action,1.0,0.0,46.0,88.0,54,15,571,8.1
Whiplash,2014,3300000,13092000,35890041,48982041,R,1 hr 46 min,Drama,1.0,0.0,48.0,88.0,45,37,"1,259",8.9
The Fault in Our Stars,2014,12000000,124872350,182294484,307166834,PG-13,2 hr 6 min,Drama,10.0,1.0,34.0,69.0,58,56,354,7.4
Resident Evil: The Final Chapter,2016,40000000,26830068,285412558,312242626,R,1 hr 47 min,Action,10.0,3.0,6.0,49.0,84,128,141,5.2
Ted 2,2015,68000000,81476385,134387221,215863606,R,1 hr 55 min,Comedy,17.0,10.0,11.0,48.0,125,52,178,6.2
Hot Tub Time Machine 2,2015,14000000,12314651,767000,13081651,R,1 hr 33 min,Comedy,11.0,19.0,1.0,29.0,30,59,21,3.6
Ben-Hur,2016,100000000,26410477,67650834,94061311,PG-13,2 hr 3 min,Action,21.0,10.0,3.0,38.0,43,43,57,5.1
Star Trek Beyond,2016,185000000,158848340,184623476,343471816,PG-13,2 hr 2 min,Action,8.0,3.0,39.0,68.0,195,108,577,6.7
Fences,2016,24000000,57682904,6731857,64414761,PG-13,2 hr 19 min,Drama,5.0,0.0,43.0,79.0,33,20,189,7.3
Me Before You,2016,20000000,56245075,152069111,208314186,PG-13,1 hr 46 min,Drama,13.0,5.0,18.0,51.0,51,34,139,6.7
Hitman: Agent 47,2015,35000000,22467450,59880206,82347656,R,1 hr 36 min,Action,8.0,17.0,2.0,28.0,80,134,79,4.2
Night at the Museum: Secret of the Tomb,2014,127000000,113746621,249458014,363204635,PG,1 hr 38 min,Adventure,14.0,9.0,10.0,47.0,72,19,59,6
The Boss,2016,29000000,63285885,15558697,78844582,R,1 hr 39 min,Comedy,20.0,14.0,5.0,40.0,31,43,30,4.5
Game Night,2018,37000000,69179066,48500000,117679066,R,1 hr 40 min,Action,11.0,0.0,30.0,66.0,70,14,225,7.2
Dr. Seuss' The Grinch,2018,75000000,270620950,240975007,511595957,PG,1 hr 25 min,Animation,,,,,,,,
The Secret Life of Pets,2016,75000000,368384330,507073607,875457937,PG,1 hr 27 min,Adventure,15.0,1.0,23.0,61.0,138,47,177,6.2
Fury,2014,68000000,85817906,126000000,211817906,R,2 hr 14 min,Action,17.0,1.0,29.0,64.0,125,65,530,7.3
Blackhat,2015,70000000,8005980,11646077,19652057,R,2 hr 13 min,Action,12.0,9.0,16.0,51.0,52,33,42,5.3
Everest,2015,55000000,43482270,159945314,203427584,PG-13,2 hr 1 min,Action,14.0,1.0,24.0,64.0,97,17,234,7
The Longest Ride,2015,34000000,37446117,25498698,62944815,PG-13,2 hr 3 min,Drama,13.0,17.0,0.0,33.0,17,25,33,5
Devil's Due,2014,7000000,15821461,21100099,36921560,R,1 hr 29 min,Horror,7.0,9.0,2.0,34.0,9,55,10,2.7
Sinister 2,2015,10000000,27740955,25588195,53329150,R,1 hr 37 min,Horror,9.0,8.0,0.0,32.0,44,46,70,5.9
T2 Trainspotting,2017,18000000,2402004,39279742,41681746,R,1 hr 57 min,Drama,16.0,0.0,26.0,67.0,38,14,140,7.3
Beauty and the Beast,2017,160000000,504014165,759506961,1263521126,PG,2 hr 9 min,Family,5.0,4.0,1.0,39.0,5,6,12,5.6
Veronica Mars,2014,6000000,3322127,163256,3485383,PG-13,1 hr 47 min,Crime,12.0,0.0,23.0,62.0,31,15,110,7.6
Thank You for Your Service,2017,20000000,9536300,459392,9995692,R,1 hr 49 min,Biography,9.0,0.0,25.0,68.0,16,4,22,6.4
Pete's Dragon,2016,65000000,76233151,67462187,143695338,PG,1 hr 42 min,Action,13.0,0.0,29.0,71.0,38,20,110,6.7
Annihilation,2018,40000000,32732301,10338614,43070915,R,1 hr 55 min,Adventure,5.0,2.0,44.0,79.0,146,103,610,7.1
Kingsman: The Secret Service,2014,81000000,128261724,286089822,414351546,R,2 hr 9 min,Action,13.0,6.0,31.0,60.0,140,114,"1,352",8.1
Furious 7,2015,190000000,353007020,1162040651,1515047671,PG-13,2 hr 17 min,Action,15.0,3.0,32.0,67.0,173,150,675,6.8
Mike and Dave Need Wedding Dates,2016,33000000,46009673,31058573,77068246,R,1 hr 38 min,Comedy,14.0,4.0,14.0,51.0,43,29,70,6
A Haunted House 2,2014,4000000,17329486,8029230,25358716,R,1 hr 26 min,Comedy,4.0,11.0,1.0,17.0,28,62,26,3.7
Pitch Perfect 2,2015,29000000,184296230,102847849,287144079,PG-13,1 hr 55 min,Comedy,12.0,2.0,25.0,63.0,102,55,157,6
Tag,2018,28000000,54730625,23400000,78130625,R,1 hr 40 min,Comedy,12.0,6.0,17.0,56.0,56,13,79,6.3
Ride Along 2,2016,40000000,91221830,33383467,124605297,PG-13,1 hr 42 min,Action,15.0,13.0,1.0,32.0,40,30,23,4.6
Nightcrawler,2014,8500000,32381217,15017775,47398992,R,1 hr 57 min,Crime,7.0,0.0,38.0,76.0,52,21,"1,095",8.6
Lucy,2014,40000000,126663600,332200000,458863600,R,1 hr 29 min,Action,16.0,2.0,27.0,61.0,241,171,646,7
Red Sparrow,2018,69000000,46874505,104698129,151572634,R,2 hr 20 min,Action,23.0,10.0,18.0,53.0,103,81,129,5.4
Black or White,2014,9000000,21571189,262778,21833967,PG-13,2 hr 1 min,Drama,13.0,7.0,10.0,45.0,6,4,26,7.4
99 Homes,2014,8000000,1411927,416305,1828232,R,1 hr 52 min,Drama,4.0,0.0,27.0,76.0,11,0,74,7.8
Insurgent,2015,110000000,130179072,166823455,297002527,PG-13,1 hr 59 min,Action,,,,,,,,
John Wick,2014,20000000,43037835,42975221,86013056,R,1 hr 41 min,Action,5.0,4.0,31.0,68.0,158,65,"1,104",8
The Lazarus Effect,2015,3300000,25801570,12555322,38356892,PG-13,1 hr 23 min,Horror,9.0,15.0,5.0,31.0,39,36,22,4.8
47 Meters Down,2017,5300000,44307191,17880338,62187529,PG-13,1 hr 29 min,Adventure,13.0,4.0,7.0,52.0,53,27,36,5.2
A Most Violent Year,2014,20000000,5749134,6257936,12007070,R,2 hr 5 min,Action,6.0,0.0,38.0,79.0,38,19,139,7.1
Hot Pursuit,2015,35000000,34580201,16800000,51380201,PG-13,1 hr 27 min,Action,10.0,23.0,3.0,31.0,30,62,37,4
